Cleaned_Komentar,Sentiment
proses bayar pajak tahunan tidak sampai jam mulai dari proses foto copy ktp stnk beli map lanjut pendaftaran trus dapat nomor antrian duduk sejenak di luar sambil nunggu panggilan orang per sesi masuk serahkan berkas di panggil tuk setoran pajak tak lama stnk baru tercetak so far pelayanan dari depan sampe kedalam ramah semoga kedepan semua proses bisa lebih cepat,Neutral
saya mau bayar pajak antrian panjang terus liat di banner bisa bayar pakai aplikasi datenglah ke counter informasi nanya ke mbak di counternya dibilang bisa pas daftar di aplikasi keterangannya nik saya sudah terdaftar sedangkan saya gapernah daftar dan download aplikasi signal sebelumnya bukannya ngasih saran eh si mbaknya bilang coba ke samsat yang ke pimps aja karena sudah terdaftar di aplikasi saya udah bilang dong kalo gapernah daftar sebelumnya ehhh si mbaknya bilang manual aja lol in this modern era malah masih nyuruh manual untuk apa ada aplikasi kalo gitu katanya loket informasi dan pengaduan bukannya ngasih saran dan informasi yang jelas tentang aplikasi dll malah nyuruh manual untuk apa pemerintah ngeluarin budget gede buat aplikasi kalo masih harus manual lucu bangett,Positive
petugas samsatnya agak ya saya udh bayar pajak thn kemaren secara digital trus dpt stnk fisiknya jg langsung di kirim dri samsatnya trus hari ini mau bayar pajak thn masa petugas samsatnya bilang stnk saya palsu bkn yg asli trus dibilang kalau ga ada yg asli berarti blm bayar jelas fisik stnknya ada barcode nya jg bisa di scan trus yg lebih parah minta duit rb buat bayar pajak dgn alasan bkn domisili di sana sdg kan dri calo aja rb ini ke samsat langsung di mintain rb ga ada otak emang di kira duit cetak aja kali ya nilep duit rakyat banyak bgt ini nih oknum yg kek gini harus di hilangin dri pemerintahan makanya instansi pemerintahan ga maju orang stafnya aja kek gitu semua kapok deh ke samsat ini gak lgi deh,Neutral
harus sesuai slogan dong s dan ada arahan untuk para pembayar pajak mau online atau manual jika mmng sulit untuk online bisa diarahkan untuk manual jika ingin online mohon dibantu sehingga proses pembayaran pajak nya berjalan lancar dan untuk proses online pencetakan masa harus nunggu jam wkkw ngmng nya juga belibet bukti pembayaran harus diprint lah itulah kan secara online nih transaksi juga bs dilihat disistem kalian harusnya lebih efisien dan tidak menumpuk dokumen yg sdh ada datanya sebenernya kalo online udh bayar trs antri cetak beres slogan nya jadi cepat tanggap efisien smg ada peningkatan kedepannya,Neutral
utk yg perubahan alamat di ktp yg mnybabkan stnk dan bpkb harus ganti buatlah sop yg gampang spt perubahan scr online hasil dikirim lewat pos dan tdk menghalangi utk membayar pajak tahunannya jika pengajuan lewat offline buatlah layanan satu pintu semua jd satu bpkb dan stnk jgn dipisah utamakan layanan publik yg berkualitas krn warga sdh mau bayar pkb dg tepat waktu,Negative
bayar pajak dipersulit udah lengkap ktp stnk atas nama kendaraan eh disuruh orang yg bersangkutan yg harus byarnya,Neutral
tolong kembalikan antrian biasa jangan online bikin ribet akal siapa ini ya allah mempersulit saya dari daerah ke palembang bayar pajak hp jadul nggk bisa scan,Neutral
samsat banyak lah ulo nyo lemak bayar pajak online be dari pada kesano pajak di ulo jadi alesan nyo alamat pindah ini itu banyak,Neutral
fasilitas publik masak toilet saja tidak ada air wc jorok bau pesing padalah ada petugas kebersihannya,Neutral
agenda rutinitas tahunan bayar pajak hari ini sonfar so good cepat prosesnya jam,Positive
pelayanan cepat ramah antrian gk terlalu lama klw mau byr pajak motor dan mobil gak pake ribet di sni be bestie,Neutral
tempat parkir selalu penuh,Neutral
samsat banyak lah ulo nyo lemak bayar pajak online be dari pada kesano pajak di ulo jadi alesan nyo alamat pindah ini itu banyak,Neutral
good,Positive
pelayanan ny jelek dan tidak ramah sebagian ad yg ramah tpi ad beberapa yg judes bkin mles ngurus pajak,Neutral
cepat kebetulan lg tdk ramai,Neutral
pelayanan sangat baik,Neutral
kak tanya dong kalo gkada ktp yg punya biaya nya berapa ya,Neutral
pelayanan okey,Neutral
halaman parkir mobil tolong di perluas lagi,Neutral
sesuai banyaknya antrian wajib pajak disediakan bangku didepan gedungnya dengan kapasitas yang memadai dan tenggang waktu tunggu yang tidak lama kemudian antrian masuk kedalam gedung dengan empat loket pelayanan sesuai pembagian urut antrian cepat tanpa ribet kebetulan saya hari ini mengurus pembayaran pajak kendaraan roda dua dengan persiapan stnk skpd pkb asli beserta poto kopinya lembar ktp pemilik dan poto kopinya lembar bila diwakilkan diperlukan juga surat kuasa dari pemilik bermaterai ktp penerima kuasa beserta poto kopinya lembar map lembar bewarna kuning biru untuk kendaraan roda empat dibelakang gedung juga tersedia tempat poto kopi terimakasih uptb samsat polda sumsel dan dispenda kota palembang,Neutral
bayar pajak disiniwuihh pas ambil plat cepet amat selesainyaperasaan baru dudukmana cetakannya bagus n rapihhh pulabintang di langit ini bukan bintang lima,Neutral
pelayanan baik pelayanan di workshop tnkb sangat memuaskanhasil cetakannya bagus rapi cepat n petugasnya ramahtingkatan terus ya pelayanannya terima kasih,Neutral
jam masih ada petugas belum datang jadi sambil menunggu petugas datang no antri dibagikan duludan akibatnya terjadi ribut mulutkarena ada yg datang pertama dapat no antri,Negative
skrg bayar pajak la cepet proses tnan dak sampe sejam la slesai asal syarat la lengkap urusan lancar jaya,Neutral
bayar pajak proses thn cepet n mudah prosesnya gk berteletele apalg pas mau ambil platgk pake lama sd slsai platnyathe best pokoke,Positive
the experience sebenernya ini untung untungan kadang cepet kadang bikin emosi dan sifatnya pun subyektif tapi banyak jeleknya sih liat aja tuh rating di bawah wq tanggal oktober saya mau bbn motor nih ceritanya saya akui pelayanan ditlantas yang seberang ps itu lancar jaya tiada masalah paling agak lama pas di koperasi buat fotokopi berkas dan tetep ga berubah sistem getok harga sejak jaman majapahit saya abis rb buat fotokopi bpkb lama stnk lama ktp dan map start masukin berkas jam kelarnya kurleb menitan setelah dapet bpkb anyar selanjutnya kita disuruh kembali ke samsat masing masing sesuai domisili untuk stnk dan plat nopol anyar kebetulan dapetlah saya di samsat a rivai sushi tei ini awal pendaftaran sih satset dan lancar cukup scan qr untuk ambil nomor antre diarahkan juga oleh petugasnya saya masukin bundelan berkas sekitar baru dipanggil untuk pembayaran menit kemudian oke tidak masalah dan masih wajar saran saya pakailah pengeras suara untuk manggil antrean kek modelan di ditlantas nah abis bayar kan tinggal ambil plat nopol sama stnk anyar dong u kno what baru dapetnya itu menit sebelum adzan dzuhur ternyata sistem mereka ini kumulatif dulu pas dah banyak orang baru dah dibagiin tu stnk dan nopol itu pun mereka kayak buru buru ngejer waktu ishoma total dari start masukin berkas sampe kelar urusan itu memakan waktu dua setengah jam coba kalo manusia tuh ga butuh makan siang dan ga ada adzan di dunia ini mungkin lebih lama lagi yak wqwqwq ditambah lagi ada parkir padahal keliatan tuh palang tulisan gratis parkir lucunya itu palang kek sengaja ditutupin baca disembunyiin di deket tanaman hias memanglah yang di atas korup yang di bawah pemalak pemimpin itu cerminan rakyatnya bukan ps ternyata sekali fotokopi di koperasi instansi tsb rb per item yang mau difotokopi sesuai mood petugas yang jaga,Negative
terlalu riweuh kurang kk doang di suruh pulang mana jauuu lagi,Positive
pelayanan buruk plat nomor salah cetak ketika ditanya baik baik malah disuruh cetak sendiri diluar kalo mau rapih tidak sopan tandain bapak tua berkacamata yg manggil orang itu,Neutral
orang situ gak ada sopanÃ½nya iya tau kalo capek sini juga capek eh malah omong kasar depan orang banyak minus minus,Neutral
topppp,Neutral
udah kali berturut antrean panjang dgn alasan surver error kita di usir pulang kasar pelayanannya masih ada ngulo lagi,Negative
layanan ok mantap,Positive
pelayanan tidak sopan dan berbelit apalagi di bagian pengambilan nomor antrian,Neutral
sudah mulai menggunakan pelayanan digital,Neutral
min mutasi keluar emg lama y prosesnya masukin berkas td disuruh dtng lagi hari kemudian,Neutral
pemutihan kapan min,Neutral
untuk bea mutasi keluarnya berapa min kalo boleh tau,Neutral
ijin sharing min,Positive
min buat bayar pajak tahunan apo bisa online jd duduk manis bae dirumah,Neutral
pak mau tnykl mau byr pjk sm ganti bg tp bpkbnya gk disini bs gak,Neutral
min ada batas waktu gak min biar gak kena denda pajakku mati tanggal tadi aku masih mudik min,Neutral
pak bisa bayar online ga mepet banget ini tanggal april,Neutral
tanggal bulan bayar pajak apo biso sekrng bae bayarnyo trus apo bae saratnyopajak motor,Neutral
min mutasi keluar emg lama ya prosesnya masukin berkas td disuruh dtng lagi hari,Neutral
pemutihan kapan min,Neutral
untuk bea mutasi keluar berapa min kalau boleh tahu,Neutral
motor saya pakai stnk atas nama paman harus minta kuasa juga untuk bayar,Neutral
min kalo beli motor bekas tapi ga punya ktp pemilik pertama bisa bayar pajak,Neutral
sy pindah alamat beda kelurahan harus urus ke samsat lama ubah bpkb stnk ya,Neutral
biaya balik nama gratis program sampai kapan,Positive
pajak saya daerah pangkalan balai bisa bayar di palembang,Neutral
min pemutihan pajak di palembang sudah ada,Neutral
min bayar pajak tahunan bisa online,Neutral
min mau bayar pajak ganti bg tapi bpkb tidak ada bisa,Neutral
pajak mati tanggal masih mudik ada batas waktu,Neutral
plat jambi bisa bayar pajak tahunan di palembang,Neutral
kapan diadakan pemutihan pajak,Neutral
pajak mobil saya telat hari dikenakan denda atau tidak karena ada pemutihan,Neutral
mau buat stnk duplikat karena hilang tapi tidak ada bpkb bisa,Neutral
bayar pajak mobil telat bulan didenda gak nunggu gajian dulu,Neutral
stnk alamat lama ktp baru bisa update alamat stnk di samsat terdek,Neutral
beli motor bekas ga punya ktp pemilik pertama bisa bayar pajak,Neutral
aplikasi edempo tidak ada di playstore,Neutral
ktp alamat berubah tidak bisa bayar pajak harus mutasi ke padang,Neutral
plat jambi bisa bayar pajak di palembang,Neutral
bayar pajak ganti bg tapi alamat ktp stnk beda bisa,Neutral
pajak mepet bisa bayar online,Neutral
bayar pajak tanggal april bisa sekarang apa syaratnya,Neutral
tanggal maret masih bisa bayar pajak tahunan,Neutral
info pemutihan denda pajak mobil mati tahun mahal,Neutral
kena etle karena belok kiri langsung bisa dibatalkan,Neutral
stnk banyuasin bisa bayar pajak tahunan,Neutral
balik nama karena orang tua meninggal cukup rtlurah,Neutral
biaya cabut berkas berapa,Neutral
ganti alamat di bpkb stnk saat bayar pajak ganti plat gratis atau berbayar,Positive
bayar pajak bulan sebelum jatuh tempo bisa,Neutral
tolong cek dm,Neutral
bayar pajak bukan atas nama sendiri pakai surat kuasa,Neutral
drive thru tolak pajak karena tidak bawa bpkb mobil masih kredit,Neutral
telat hari bayar pajak mobil berapa dendanya,Neutral
katanya bbn gratis,Positive
signal edempo error solusi lain selain ke samsat,Negative
ktp asli pemilik tidak ada hanya fotokopi bisa,Neutral
aplikasi signal belum jalan seperti daerah lain,Neutral
plat banyuasin bisa bayar di samsat simpang arifai,Neutral
mertua mau bayarin pajak tapi kk beda,Positive
istri bayar pajak atas nama suami bisa,Neutral
stnk alamat lama mau ubah ke alamat baru kena biaya,Neutral
ganti alamat bayar rp benar,Neutral
motor dari kayuagung bayar pajak tahunan bisa di palembang,Neutral
ganti bpkb karena waktu balik nama masih pakai ktp gadis pakai biaya,Neutral
saya bayar pajak di samsat di minta uang parkirpadahal di situ ada tulisan parkir gratisstolong di tindak lanjuti jukir nya,Neutral
untuk kapan kk pemutihan nya di sumsel,Positive
untuk kpan dibukasumsel,Neutral
untuk pembayaran pajak tahun yg jatuh tempo kita dapat denda nggak kak adminsedangkan samsat palembang masih libur,Neutral
mantap pak herman deru,Neutral
kapan jateng ada pemutihan pajak dah di tggu wp pak ganjar,Positive
coba semua daerah adakan pemutihan pajak dan membebaskan biaya balik nama setelah itu pajak baru akan dipungut,Neutral
aslam bisaka kenderaan bemotor pelat muara enim ingin kita mutasikan ke kota madiya pagaralam kita urus melalui samsat pagaralam,Neutral
klo balek nama msih propinsi yg sama,Neutral
kalau pajak palembang mutasi bbn ke kabupaten muba bagai mana,Neutral
kalau kita beli motor siken tapi pajaknya mati hampir tahun surat lenngkap berapa biayanya pak motor jenis vario,Neutral
gimana caranya,Neutral
brpa ya biasanya biaya bbn,Neutral
brpa ya biasanya biaya bbn,Neutral
apa benar biaya bbn bisa ribuan,Neutral
terlalu ribet buk,Neutral
waw kren buat sumsel,Neutral
alhamdulilah kapan di jawa barat seperti itu semogga kedepan bisa bebas pajak bermotor amiiin,Neutral
mantaaaappayo daerah lain menyusul doooongklo ini bisa kenapa yg lain ga bisa,Neutral
alhamdulillah ya allah,Neutral
bandung kapan woy,Neutral
kirain di hapus pajak bermotor,Neutral
maaf kayaknya gak efektif gak begitu pengaruh,Neutral
seharusnya ada undang atau perda bagi semua warga wajib pajak yg ingin ngurus pajak stnk dan paja tahunan agar di wajibkan dan di bolehkan merekam prosesbirokrasi tahapan pengurusan nyakarena di lapangan banyak kejadian yg di luar dugaan spt biaya yg tak wajib dan ribet nya pengurusan,Neutral
pajak jangan sampai nungggak permudah bila ada yg mau bayar pajak yg utama stnk dan bpkb ktp pemilik tidak disertakan karena udah berkali pindah tangan blum dibalik nama,Neutral
karena ga mau riba beli seken motor sudah berada ditangan ke suratÃ½ bpkb stnk ada cuma pajak mati tahun mau ngurus bayar plis tolong dipermudah pak apakah mesti tentu ga mungkin pakai ktp dari pembeli ini gimana cara ngurusnya,Neutral
betulmohon infonya pak gimana kalau beli kendaraan bekas yg ada tunggakan pajaknya kendaraan juga ada d provinsi yang bedapingin taat pajak tapi ngurusnya belibet padahal dah sistem online jaman sekarang harusnya bisalah,Neutral
waduh apa seriusan pake ktp pembeli bg,Neutral
ini motor uda di tangan ke sy,Neutral
tempat ku kirim foto ktp lewat wa pagi jam kirim setengah jam aja dah selesai berserta plat putih kemarin biaya lumayan bayar orang,Neutral
didaerah mana ini coba wa ke saya,Neutral
tai lah ditempat ku tinggal serahkan stnk sama polisi kasih uang brpa yg dia minta dah selesai,Neutral
dari pada ribet ya ga usah bayar pajak lagian uang pajaknya kemana karna hampir smua jalan dilampung ini rusak parah,Neutral
kalo di lampung iya bebas banyak senpi trs penyamun kalo dijakarta nggak bisa om banyak razia nya hampir tiap minggu ada,Neutral
pakstnk adacuman bpkbmasih di tempat keridit bisa gk pak,Neutral
kenapa harus pakai bpkp,Neutral
ribet orang mau bener di dipersulit,Neutral
pakai paspor bisa gak,Neutral
kalau misal persarata no ngga ada gmna saya kan beli motor bekas,Negative
biasalah pake uang kopi,Neutral
kalo stnk ilang bisa gk bwa bpkb aja pak,Neutral
harus buat surat kehilangan dr polsek dlu nnti stnk barunya ada cap stnk hilang,Neutral
saya bayar pajak dan ganti plat di aplikasi samsat rp ternyata di samsat pembantu jadi rb mengapa jadi seperti ini saya tny petugas dalih formulir dibeli jawabnya,Neutral
kalau plat habis berapa ya bang di ini tapi di aku tangan ke aku,Neutral
itu bneran bang jadi nya abis ansoalnya sya jga di cek aplikasi abis an tpisekarang blum ke samsat,Neutral
fc y semua dokumennya,Neutral
kalo lewat toll stnk aja bisa,Neutral
kalo balik nama harus ada bpkb trs ktp pemilik baru,Neutral
kalau bpkb belum keluar soalnya motor kridit belum lunas bagemana pak apa mas,Neutral
minta surat keterangan dari lising tempat kredit motornya nanti juga di kasih,Neutral
bayar pajak di persulit anjir,Neutral
iya anjirtibang mo bayar aja d persulitgimn mo ngutangq juga mo byr pajak nihmotor belum lunasberarti harus minta surat dulu gitu ke dealer nyarempong bntcuma mo tepat waktu byr motor ajahadeuhhh,Neutral
stnk d bank gimana,Neutral
ribet,Neutral
cuma ada bpkb asli dan potokopinya stnk ada potokopinya doang apakah bisa diperos oleh petugas,Neutral
klo msih cicilan motor nya gk pke foto bpkb ya,Neutral
minta surat resinya lewat lising,Neutral
klw gk salah deh,Neutral
kalau pajak tahunan hanya butuh ktp dan stnk saja,Neutral
mau tanya kak utk sekarang cek fisik masih didepan ps mall ya atau sudah berubah tempat,Neutral
